adid,n_interests,custom
23848316696180124,0,0
23848583091610037,0,1
23848711378360142,0,1
23848250773390570,0,0
6247561868735,0,0
6255849825757,0,0
6256640392387,1,0
23848664366240101,2,0
23848716700320093,0,0
6244184627757,0,1
23848677906730522,1,0
23848916463590707,0,0
6254961392242,0,1
6239313391654,0,1
6247880456157,0,1
6286594330473,4,0
23848566903000788,0,0
6278355885830,0,1
23848411226910062,0,0
23848544018110618,6,0
6255064130092,0,1
23848891913700368,4,1
23849215085840150,0,1
23849199536010236,1,0
23850158077320010,2,0
23849396059250579,0,0
6256640397387,1,0
6242765307776,0,0
23848967701270406,1,0
23848537774350159,0,1
23848895131510594,0,0
23849238589780455,0,0
6252223078357,0,0
6283410242420,1,0
23848578140090293,1,0
23848666043330170,0,1
23849021031180001,1,0
23849222121910436,0,1
23849099085890374,0,0
6276798428216,0,1
6256458232585,1,0
6295016894413,0,1
6250361317422,3,0
23849232881280091,0,1
23849406004640246,0,0
23848617225200170,0,0
6258630497789,0,1
6229993434698,0,0
6262734688476,0,0
6233269112263,0,0
6278295662250,0,1
6268730010906,0,0
6222563576487,0,0
6244191101957,0,1
6254879481987,0,0
6265277043667,0,0
23846786604620470,0,0
6240704128697,0,1
23848304822700189,0,1
23849019475990710,0,0
6281950180488,8,1
23849198979010236,1,0
23848544151380618,0,1
6281985252288,8,1
23849054706760197,0,0
23848589927970376,8,0
23848439465300719,5,0
23849492026170089,3,0
23849416351850615,0,0
23848957132090252,0,0
6253686747508,1,0
6139006742595,1,0
23848598069570054,0,1
23848783163750237,2,0
6255710485627,1,0
23848734498310409,0,0
23848348276770046,0,1
23848105063410713,0,1
23849503688470578,0,0
6247426509790,0,0
23849145621060125,0,1
6258685167389,0,1
6262289394742,16,0
6247112071889,0,1
23849014902060174,0,1
23849080303140303,21,0
23848951259930713,0,0
23848422817690225,0,1
23848203366190506,7,0
23849067590910486,0,0
6245815690675,0,0
23848775634080217,0,1
23848719782900004,0,0
23848494571910352,0,1
23849008053170641,2,0
23849242004960104,0,1
23848690963810644,0,0
23848836118530398,0,0
6276062065616,0,1
6260815812369,0,0
6278320037030,0,1
6273900557001,0,0
23848258976710553,0,0
23848989401210590,0,0
6267193337483,0,1
6134477462604,2,0
23848148678640618,1,0
6256640412987,0,0
23848897356410198,2,0
6257704275854,2,0
6254395477636,0,1
6274345284024,0,0
23848633797060388,0,0
23848721020440409,0,0
23848711754990357,0,0
23848687096720569,1,1
6223411993879,0,0
6267327924386,0,0
23849336765580129,15,0
23848803506480462,2,0
6273900574401,0,0
23848155595480328,0,0
6257196895795,0,0
23849166223490311,0,1
23849021568740521,0,0
23848878792770660,0,0
23849024507810583,0,0
23848682684860581,2,0
23847638056650602,0,0
23849008786020713,1,0
23847848067810694,0,0
23848009194980051,0,0
23848564814080599,2,0
23848682665790581,5,0
6227855386887,0,0
6250490149233,12,0
6245186351788,0,0
23848646787860273,0,0
23848501003170352,0,1
23848895720020198,0,0
6242255996105,0,1
23848680911740164,0,0
23849208710120053,0,0
23849598026700505,0,0
23848925388280595,0,0
6265168263144,0,0
6256640391787,1,0
23848627538650466,0,0
23848390484080713,0,0
6255869835785,0,0
6238590135163,0,0
23848739618020325,0,0
6256640394387,1,0
23849652126180505,1,0
6248658038689,0,1
23849150862920152,0,0
23843329262050796,0,0
23848626134110297,0,0
23849821125640543,0,0
23848235250770740,0,0
23848821237720223,0,0
23849224532490625,0,0
23849034712190576,0,0
23847867196510160,0,0
23848701077800694,0,0
23849252579560780,0,1
23848649691060213,3,0
6274947013801,7,0
23848808451910637,0,1
23848374955590694,0,0
6278732981982,3,0
23849118347140281,0,1
6254114226933,0,0
23847519131700328,0,0
6283493911420,0,0
6279620160630,0,0
6255976523408,0,1
23849213950790340,0,0
6253148470083,0,0
23849501160730089,0,0
23848411710970512,0,0
23849465207210065,0,0
23849865598020133,0,0
23848579902080598,0,0
23848882854760212,1,0
23848685913270094,7,0
23847361214780022,0,0
23848267276550744,0,0
23848817090470092,0,0
23849463118170263,0,0
23849163961360713,0,0
23849318566830405,2,0
23848449357080725,0,0
6256516642795,0,0
23848477152770388,0,0
6254944510887,0,0
23848683400370170,0,1
23849031079160534,0,0
23848985940500100,0,1
23848891683150388,0,0
6274947068201,7,0
6248576965289,0,1
6274464633596,0,0
23849596391060455,0,0
6274667536250,3,0
6250609038833,1,0
6244331485737,5,0
23847311981190713,0,0
23848832623530398,1,0
23848511915550717,0,0
23849122903140099,0,0
6253686747308,1,0
23849291472240012,0,0
23848728459750783,0,0
23847848067180694,0,1
23848647748280756,0,0
23849159920950125,0,1
23849226785270083,0,1
23849110890590281,0,0
6254040393684,0,1
23849503082390318,8,0
6261364605947,3,0
6290776063923,0,0
6247939765307,3,0
23849744022330342,0,0
6238881805536,0,0
6268757204988,3,0
23848049899960774,0,1
23849068390760462,0,0
23847429903060763,8,0
23848294640760121,0,1
23848728077370319,0,1
23848207129770719,0,0
6215783039600,0,1
23848646967270592,0,0
23849082643600193,0,0
23849339464690405,0,1
23848699411280476,0,0
23848290341990213,0,0
6254437828439,0,0
6268816450153,1,0
23848019137340157,3,0
6257906125485,0,0
6255470685785,0,1
23848787718240502,0,0
23849181634670549,0,0
6241020601081,0,0
23848742366090142,0,1
23849317448600058,0,1
23848208863970166,0,0
23849241447530551,3,0
6256677149769,0,0
6259182398569,1,0
6259739338011,0,1
23848793662810339,0,0
6269262504386,1,0
23849842722940746,0,0
6258422071804,2,0
6277763814819,0,0
6264527659361,0,0
6255961747395,0,0
6283943089809,0,0
23843337473840796,0,1
23849178176220152,0,1
23849321680330308,0,0
6274947068001,7,0
6266971410150,1,0
23848618629680480,0,1
23848294382900352,0,1
23848608185440260,0,0
6278172788820,0,1
23848734352550048,0,1
23849252451220661,0,1
23848613760370471,0,0
23849048722800181,0,0
6247532264785,0,1
23848361212010184,0,0
23848941315050773,1,0
23848788308500502,2,0
23848951789090602,0,1
6232119752977,0,1
23848685914120094,7,0
6285179725939,1,0
23848998594550060,2,0
6273324036097,0,1
23849109670410047,0,0
23848345791300156,0,1
6258757909804,0,1
23847620203290170,2,0
6265933793407,0,1
23847895292850149,3,0
23848581758400598,0,0
23848051218590740,0,1
23848739690090648,0,1
23849090258670603,1,0
23849159733280703,1,0
6276798698220,0,1
