relevance,scam_dislike,other_dislike,general_like,general_dislike,sensitive,prohibited,harmful,clickbait,benign,code_other,pid
3,0,0,1,1,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
1,1,1,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,1,0,1,1,0,0,0,0,0,1,6130e3db169db34eb3cde8cc
1,1,0,0,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
2,0,0,1,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,0,1,0,0,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,0,0,1,0,0,0,0,0,1,0,6130e3db169db34eb3cde8cc
5,1,0,0,0,0,0,0,0,0,1,6130e3db169db34eb3cde8cc
3,0,0,1,1,0,0,0,1,1,0,6130e3db169db34eb3cde8cc
4,1,0,0,0,0,0,0,0,0,1,6130e3db169db34eb3cde8cc
5,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,0,1,0,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
2,1,0,0,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,1,1,0,1,0,0,0,0,1,0,5dd40277e08a363e4e006384
4,0,0,1,0,0,0,0,0,1,0,140023
4,0,0,1,0,0,0,0,0,1,0,488250
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,1,0,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,0,1,0,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,1,0,0,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,0,1,0,0,0,0,0,0,1,0,601387b4aa37e127b0544497
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,0,1,5f565c9592080106c6b4d467
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,1,0,0,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
3,0,0,1,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
1,1,0,0,1,0,0,0,0,1,0,5dd40277e08a363e4e006384
4,1,0,0,0,0,0,0,0,1,0,606e4eb2a56685e5593304cd
2,1,0,0,1,0,0,0,0,1,0,5f565c9592080106c6b4d467
2,0,1,0,1,0,0,0,0,1,0,825119
2,1,1,0,1,1,0,0,0,0,0,5f565c9592080106c6b4d467
1,0,1,0,1,1,0,0,0,0,0,588623
4,0,0,1,0,0,0,0,0,1,0,5f565c9592080106c6b4d467
5,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,1,1,0,1,0,0,0,1,1,0,605504fc7a5a699c16ae8b4d
3,0,1,0,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
2,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
3,1,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
4,1,0,0,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
3,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
1,1,0,0,1,0,0,0,1,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
5,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
3,0,1,0,0,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
3,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
2,1,0,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,1,0,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
4,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,0,1,0,1,0,0,0,0,0,1,605504fc7a5a699c16ae8b4d
2,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
5,0,0,1,0,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
1,1,1,0,1,0,0,0,0,1,0,605504fc7a5a699c16ae8b4d
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
2,0,1,0,1,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
4,1,0,0,1,0,1,0,0,0,0,58a2788898124900015923bf
2,1,0,0,1,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
1,1,0,0,1,0,0,0,0,0,1,58a2788898124900015923bf
3,0,0,1,1,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
1,0,0,1,1,0,0,0,0,1,0,58a2788898124900015923bf
1,0,1,0,1,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,0,1,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
1,1,1,0,1,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
3,0,1,0,1,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
1,0,0,1,1,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
4,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
5,0,0,1,0,0,0,0,0,1,0,58a2788898124900015923bf
4,1,0,1,1,0,0,0,0,1,0,5c315f577626080001a88cb2
4,0,0,1,0,0,0,0,0,1,0,5c315f577626080001a88cb2
4,0,0,1,1,0,0,0,0,1,0,5c315f577626080001a88cb2
1,0,1,0,1,0,0,0,0,1,0,5c315f577626080001a88cb2
2,1,0,0,1,0,0,0,0,1,0,5c315f577626080001a88cb2
4,0,0,1,0,0,0,0,0,1,0,5c315f577626080001a88cb2
1,0,1,0,1,0,0,0,1,1,0,5c315f577626080001a88cb2
1,1,0,0,1,0,0,0,0,1,0,5c315f577626080001a88cb2
4,1,0,0,0,1,0,0,0,0,0,5c315f577626080001a88cb2
5,0,0,1,0,0,0,0,0,1,0,5c315f577626080001a88cb2
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
2,0,0,1,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,1,1,0,1,1,0,0,0,0,0,5f969b802a498b000aab2571
4,1,0,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
2,1,1,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,1,1,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,1,0,0,1,0,0,0,1,0,0,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
1,1,0,0,1,0,0,0,0,1,0,5f969b802a498b000aab2571
4,1,1,0,1,1,0,0,0,0,0,5f969b802a498b000aab2571
4,1,1,0,1,1,0,0,0,0,0,5f969b802a498b000aab2571
4,1,0,0,1,0,0,0,0,1,0,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
1,1,1,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,1,0,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
2,1,0,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,1,0,0,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
4,1,1,0,1,1,0,0,0,0,0,5f969b802a498b000aab2571
5,0,0,1,0,0,0,0,0,1,0,5f969b802a498b000aab2571
4,1,0,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
1,1,1,0,1,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,1,0,0,0,0,1,0,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
4,0,0,1,0,0,0,0,0,0,1,5f969b802a498b000aab2571
2,0,1,0,0,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
2,0,1,0,0,0,1,0,0,0,0,61648bb6ad1eceeee2c056ee
5,0,0,1,0,0,0,0,0,1,0,61648bb6ad1eceeee2c056ee
