adid,opportunity,healthcare,sensitive,financial,prohibited,harmful,clickbait
6261364605947,0,1,0,0,0,0,0
23849124030910527,0,0,0,0,0,0,0
23849401057240532,0,1,0,0,0,0,0
6285472929888,0,0,0,0,0,0,0
23849444843520065,0,0,0,0,0,0,0
6257108476455,0,0,0,0,0,0,0
23848741646000498,0,0,0,0,0,0,0
23849239465040471,1,0,0,0,0,0,0
23849646652380263,0,0,0,0,0,0,0
23848737336450787,0,0,0,0,0,0,0
23848568547400724,0,0,0,0,0,0,0
23849177297180714,0,0,0,0,0,0,0
6266964377690,1,0,0,0,0,0,0
23848328526380575,0,0,0,0,0,0,0
6251228373530,0,0,0,0,0,0,0
6282578706906,0,0,0,0,0,0,0
23849132215940710,0,0,0,0,0,0,0
23849229065940525,0,0,0,0,0,0,0
23849767368800386,0,0,0,0,0,0,0
23848983289380039,0,0,0,0,0,0,0
23848683400370170,0,0,0,0,0,0,0
23849375186410021,0,0,0,0,0,0,0
23848478988980667,0,0,0,0,0,0,0
23849606774670615,0,0,0,0,0,0,0
23849804393170536,0,0,0,0,0,0,0
6298462765213,0,0,0,0,0,0,0
23848916279400658,0,0,0,0,0,0,0
23848995889390434,0,0,0,0,0,0,0
23848653683680161,0,0,0,0,0,0,0
23848653149260350,0,0,0,0,0,0,0
6285960880488,0,0,0,0,0,0,0
6269566859772,0,0,0,0,0,0,0
6258505842559,0,0,0,0,0,0,0
23848905201740711,0,0,0,0,0,0,0
6255265234208,0,0,0,0,0,0,0
6256272386810,0,0,0,0,0,0,0
23848786693990153,0,1,0,0,0,0,0
23849233997080739,0,0,0,0,0,0,0
6280639592796,0,0,0,0,0,0,0
23850250471380426,0,0,0,0,0,0,0
6263844980806,0,1,0,0,0,0,0
6265404522310,1,0,0,0,0,0,0
6286066775645,0,0,0,0,0,0,0
23848008529590503,0,0,0,0,0,0,0
23848989181820711,0,0,0,0,0,0,0
23849421680220661,0,0,0,0,0,0,0
23848945336860607,0,0,0,0,0,0,0
23849145525110532,0,0,0,0,0,0,0
6243296749626,0,0,0,0,0,0,0
23848821887720101,1,1,0,0,0,0,0
23849152822500753,0,0,0,0,0,0,0
6266244850944,0,1,0,0,1,0,0
6252434331973,1,0,0,0,0,0,0
6270311577168,0,0,0,0,0,0,0
23849013836630566,0,0,0,0,0,0,0
23848810743700465,0,0,0,0,0,0,0
23849536583150513,0,0,0,0,0,0,0
23848566903000788,0,0,0,0,0,0,0
6258048324669,0,0,0,0,0,0,0
6267538389863,0,0,0,0,0,0,0
6302224122213,0,0,0,0,0,0,0
23848882979840256,0,0,0,0,0,1,0
23849532121930513,1,0,0,0,0,0,0
6270118525768,0,0,0,0,0,0,0
6283008229664,0,0,0,0,0,0,0
23849015093880355,0,1,0,0,0,0,0
23848783030120711,0,0,0,0,0,0,0
23849224532490625,0,0,0,0,0,0,1
6269571492784,0,0,0,0,0,0,0
23848734163240676,0,0,0,0,0,0,0
23849340500960233,0,0,0,0,0,0,0
23848588333560112,0,0,0,0,0,0,0
23848835527720322,0,0,0,0,0,0,0
6279825135216,0,1,0,0,0,0,0
6257966180269,0,0,0,0,0,0,0
23848519180300261,0,0,0,0,0,0,0
6276803664378,0,0,0,0,0,0,0
23848008546340503,0,0,0,0,0,0,0
23849549870700521,0,1,0,0,0,0,0
23849679152790731,1,0,0,0,0,0,0
23848501003170352,0,1,0,0,1,0,0
23848481369610136,0,0,0,0,0,0,0
23849659218410658,0,0,0,0,0,0,0
23849273049650391,0,1,0,0,0,0,0
6272261467835,0,0,0,0,0,0,0
23848667956100108,0,0,0,0,0,0,0
23849617270500089,0,0,0,0,0,0,0
6262558877423,1,0,0,0,0,0,0
23849320325720321,1,0,0,0,0,0,0
23849000186320371,0,0,0,0,0,0,0
23849109219000061,0,0,0,0,0,0,0
23849009389760245,0,0,0,0,0,0,0
23849312456520197,1,1,0,0,0,0,0
23849628670440129,0,0,0,0,0,0,0
23848680911740164,0,0,0,0,0,0,1
23849335146210250,0,0,0,0,0,0,0
23848184396920407,0,0,0,0,0,0,0
6260329493591,0,0,0,0,0,0,0
23849254345680365,0,0,0,0,0,0,0
23849618772040078,0,0,0,0,0,0,0
23848634885550553,0,0,0,0,0,0,0
6259347850847,0,0,0,0,0,0,0
23848493878510352,0,0,0,0,0,0,0
23848938165720633,0,0,0,0,0,0,0
23848697185960466,0,1,0,0,0,0,0
23848885154560765,0,0,1,0,0,0,0
