adid	codes
23848144214100351	Benign
23849009538490235	Benign
23849342567730263	Opportunity
23849991672650426	Benign
23848997102840235	Benign
23849843841840169	Healthcare
6250537216200	Opportunity
23848643725350179	Sensitive
23849991665920426	Benign
23849113249550757	Healthcare
6283410242420	Benign
6274947091097	Benign
23849021892500235	Benign
23849541237320187	Benign
6278295662250	Benign
23849804602430543	Benign
23849234828740365	Benign
6261410146170	Benign
6258657089345	Benign
6267044167111	Benign
6279620160630	Benign
23848354981180156	Benign
23848747383250106	Benign
23849245854530041	Financial
23848783971970569	Opportunity
23848789366720466	Benign
23849085544910056	Benign
23848304822700189	Benign
23848775680060420	Benign
23849535829690307	Benign
6243417191048	Benign
23849265292620713	Benign
23848393774780425	Benign
23849236792670759	Benign
23849006837730234	Benign
23848716996240376	Benign
23848891038820785	Benign
6302023933813	Benign
23847917159460231	Opportunity
23848737270550787	Benign
23849160157310660	Benign
23848798423360569	Benign
6288537083873	Benign
6276537284886	Benign
6266093459964	Benign
23848838179670353	Benign
23849749301500705	Benign
23849053378060714	Benign
23849196484830149	Benign
23849197905360309	Benign
23848879779450228	Benign
23848553860740573	Benign
23849160718420005	Healthcare
23848695686840489	Benign
6262368539583	Benign
23849167970000712	Benign
23848506764300422	Benign
23849909913080543	Benign
23848780036200463	Benign
23848867908880097	Opportunity
23848769234800271	Benign
23848944913110680	Benign
23849491095300070	Benign
23849228831010651	Benign
6253686747308	Benign
6258304875801	Benign
23849232881280091	Benign
6262526380893	Benign
23848674219150645	Benign
23848087374250713	Benign
23849023411320234	Benign
23847951723830596	Benign
6234793709694	Opportunity
23848566860930618	Benign
23849439593870227	Financial
23849945906610100	Sensitive
6276420406051	Benign
23848887979950336	Healthcare
23848894078000580	Benign
23849128603590061	Healthcare
23848868921470213	Opportunity
23850152383960426	Benign
23848797036890007	Benign
6259666737981	Benign
23849631214930190	Benign
23849219913760525	Benign
23849421150730405	Benign
23847338571860427	Benign
23849137101340252	Benign
6258046611469	Benign
6282219300151	Healthcare
23849021033020457	Opportunity
23848803274980642	Benign
6263183685543	Benign
6253356690010	Benign
6263608782941	Opportunity
23848630976330151	Benign
23849090233550680	Benign
6287942256409	Benign
23848839658830440	Benign
23848919765150377	Opportunity
23849047479270766	Benign
23848922479820561	Healthcare
23848615540990014	Benign
6290116536780	Benign
23848312465310046	Benign
6254704472472	Benign
23848774833760275	Benign
6258183721587	Benign
23849169654510714	Benign
6266311328561	Benign
6270535338883	Benign
23848817088460092	Benign
23848470080550278	Benign
23848885268640569	Opportunity
23849375132300021	Benign
23848633022590018	Opportunity
23849238593000130	Benign
23849008584310607	Benign
23848764622480517	Benign
23849026487290301	Healthcare
6267249481172	Benign
23848783775700275	Clickbait
6274467151540	Financial
23849345567830739	Benign
23848613150850352	Benign
23847351910100713	Benign
23847821787060138	Healthcare
23849103183460720	Healthcare
